idx_type,op_type,skew,batch_size,test_throughput,test_communication,test_component_time,test_energy,throughput,comm_dram,comm_pim,time_cpu,time_comm,time_pim,energy_cpu,energy_comm,energy_pim
pim_tree,micro_predecessor,0.6,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_predecessor,0.8,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_insert,0.2,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_insert,0.4,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_insert,0.6,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_insert,0.8,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_delete,0.0,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_delete,0.2,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_delete,0.4,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_delete,0.6,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_delete,0.8,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_delete,1.0,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_scan,0.0,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_scan,0.2,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_scan,0.4,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_scan,0.6,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_scan,0.8,1000000,True,False,False,False,0,,,,,,,,
pim_tree,micro_scan,1.0,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_get,0.0,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_get,0.2,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_get,0.4,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_get,0.6,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_get,0.8,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_get,1.0,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_predecessor,0.0,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_predecessor,0.2,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_predecessor,0.4,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_predecessor,0.6,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_predecessor,0.8,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_predecessor,1.0,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_insert,0.0,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_insert,0.2,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_insert,0.4,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_insert,0.6,1000000,True,False,False,False,0,,,,,,,,
range_partitioning,micro_insert,0.8,1000000,True,False,False,False,0,,,,,,,,
