idx_type,op_type,skew,batch_size,evaluation_set_size,threshold,test_throughput,test_communication,test_component_time,test_energy,throughput,comm_dram,comm_pim,time_cpu,time_comm,time_load,time_pim,energy_cpu,energy_comm,energy_pim
range_partitioning,micro_predecessor,0.0,1000000,100000000,,False,False,False,True,,,,,,,,nan,nan,nan
range_partitioning,micro_predecessor,0.6,1000000,100000000,,False,False,False,True,,,,,,,,nan,nan,nan
range_partitioning,micro_predecessor,1.0,1000000,100000000,,False,False,False,True,,,,,,,,nan,nan,nan
range_partitioning,micro_insert,0.0,1000000,100000000,,False,False,False,True,,,,,,,,nan,nan,nan
range_partitioning,micro_insert,0.6,1000000,100000000,,False,False,False,True,,,,,,,,nan,nan,nan
range_partitioning,micro_insert,1.0,1000000,100000000,,False,False,False,True,,,,,,,,nan,nan,nan
range_partitioning,micro_scan,0.0,1000000,100000000,,False,False,False,True,,,,,,,,nan,nan,nan
range_partitioning,micro_scan,0.6,1000000,100000000,,False,False,False,True,,,,,,,,nan,nan,nan
range_partitioning,micro_scan,1.0,1000000,100000000,,False,False,False,True,,,,,,,,nan,nan,nan
pim_tree,micro_get,0.0,1000000,100000000,,True,False,False,False,42086833.55499066,,,,,,,,,
pim_tree,micro_get,0.2,1000000,100000000,,True,False,False,False,39396912.070031956,,,,,,,,,
pim_tree,micro_get,0.4,1000000,100000000,,True,False,False,False,40166288.43411724,,,,,,,,,
pim_tree,micro_get,0.6,1000000,100000000,,True,False,False,False,40508462.21775729,,,,,,,,,
pim_tree,micro_get,0.8,1000000,100000000,,True,False,False,False,40012643.995502576,,,,,,,,,
pim_tree,micro_get,1.0,1000000,100000000,,True,False,False,False,40322580.64516129,,,,,,,,,
pim_tree,micro_get,1.2,1000000,100000000,,True,False,False,False,41123324.738558464,,,,,,,,,
pim_tree,micro_predecessor,0.2,1000000,100000000,,True,False,False,False,15251830.600967882,,,,,,,,,
pim_tree,micro_predecessor,0.4,1000000,100000000,,True,False,False,False,14203980.523501907,,,,,,,,,
pim_tree,micro_predecessor,0.6,1000000,100000000,,True,False,False,False,13817154.826746697,,,,,,,,,
pim_tree,micro_predecessor,0.8,1000000,100000000,,True,False,False,False,13977705.559632385,,,,,,,,,
pim_tree,micro_predecessor,1.2,1000000,100000000,,True,False,False,False,14389690.074855167,,,,,,,,,
pim_tree,micro_insert,0.2,1000000,100000000,,True,False,False,False,5184624.477649083,,,,,,,,,
pim_tree,micro_insert,0.4,1000000,100000000,,True,False,False,False,4936589.50777266,,,,,,,,,
pim_tree,micro_insert,0.6,1000000,100000000,,True,False,False,False,4874054.433439912,,,,,,,,,
pim_tree,micro_insert,0.8,1000000,100000000,,True,False,False,False,5078874.927626032,,,,,,,,,
pim_tree,micro_insert,1.2,1000000,100000000,,True,False,False,False,5249509.170892522,,,,,,,,,
pim_tree,micro_delete,0.0,1000000,100000000,,True,False,False,False,5320620.597186456,,,,,,,,,
pim_tree,micro_delete,0.2,1000000,100000000,,True,False,False,False,5147475.163432336,,,,,,,,,
pim_tree,micro_delete,0.4,1000000,100000000,,True,False,False,False,4973738.659875856,,,,,,,,,
pim_tree,micro_delete,0.6,1000000,100000000,,True,False,False,False,5004679.375215827,,,,,,,,,
pim_tree,micro_delete,0.8,1000000,100000000,,True,False,False,False,4904966.278356836,,,,,,,,,
pim_tree,micro_delete,1.0,1000000,100000000,,True,False,False,False,4702098.546581339,,,,,,,,,
pim_tree,micro_delete,1.2,1000000,100000000,,True,False,False,False,4663048.141309011,,,,,,,,,
pim_tree,micro_scan,0.0,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,micro_scan,0.2,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,micro_scan,0.4,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,micro_scan,0.6,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,micro_scan,0.8,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,micro_scan,1.0,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
pim_tree,micro_scan,1.2,1000000,100000000,,True,False,False,False,nan,,,,,,,,,
range_partitioning,micro_get,0.0,1000000,100000000,,True,False,False,False,59504683.01855356,,,,,,,,,
range_partitioning,micro_get,0.2,1000000,100000000,,True,False,False,False,47620634.973546736,,,,,,,,,
range_partitioning,micro_get,0.4,1000000,100000000,,True,False,False,False,27983299.56681852,,,,,,,,,
range_partitioning,micro_get,0.6,1000000,100000000,,True,False,False,False,11996923.9886893,,,,,,,,,
range_partitioning,micro_get,0.8,1000000,100000000,,True,False,False,False,4921235.623840434,,,,,,,,,
range_partitioning,micro_get,1.0,1000000,100000000,,True,False,False,False,2335553.6663521454,,,,,,,,,
range_partitioning,micro_get,1.2,1000000,100000000,,True,False,False,False,1260231.5045273816,,,,,,,,,
range_partitioning,micro_predecessor,0.0,1000000,100000000,,True,False,False,False,41092738.0913245,,,,,,,,,
range_partitioning,micro_predecessor,0.2,1000000,100000000,,True,False,False,False,22292915.53437233,,,,,,,,,
range_partitioning,micro_predecessor,0.4,1000000,100000000,,True,False,False,False,7890542.395884292,,,,,,,,,
range_partitioning,micro_predecessor,0.6,1000000,100000000,,True,False,False,False,2644411.301156136,,,,,,,,,
range_partitioning,micro_predecessor,0.8,1000000,100000000,,True,False,False,False,991935.5638657713,,,,,,,,,
range_partitioning,micro_predecessor,1.0,1000000,100000000,,True,False,False,False,459271.7786677444,,,,,,,,,
range_partitioning,micro_predecessor,1.2,1000000,100000000,,True,False,False,False,243393.09445112423,,,,,,,,,
range_partitioning,micro_insert,0.0,1000000,100000000,,True,False,False,False,36699806.59201926,,,,,,,,,
range_partitioning,micro_insert,0.2,1000000,100000000,,True,False,False,False,16636803.604197133,,,,,,,,,
range_partitioning,micro_insert,0.4,1000000,100000000,,True,False,False,False,5548588.993818872,,,,,,,,,
