idx_type,op_type,skew,batch_size,evaluation_set_size,threshold,test_throughput,test_communication,test_component_time,test_energy,throughput,comm_dram,comm_pim,time_cpu,time_comm,time_load,time_pim,energy_cpu,energy_comm,energy_pim
pim_tree,micro_insert,0.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,5470070.509,,,,,,,,,
pim_tree,micro_insert,1.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,5181025.014,,,,,,,,,
pim_tree,micro_predecessor,0.0,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,1708.66,395.75,2332.300881
pim_tree,micro_predecessor,0.6,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,1884.16,513.13,2279.383101
pim_tree,micro_predecessor,1.0,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,2181.83,568.6,2101.806283
pim_tree,micro_insert,0.0,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,4070.44,1131.11,3538.592429
pim_tree,micro_insert,0.6,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,4378.49,1187.6,3430.209416
pim_tree,micro_insert,1.0,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,4541.85,1218.29,3068.420984
pim_tree,micro_scan,0.0,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,2086.36,492.36,68.88993434
pim_tree,micro_scan,0.6,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,1979.26,446.74,86.46501823
pim_tree,micro_scan,1.0,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,2143,462.48,72.64194479
range_partitioning,micro_predecessor,0.0,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,535.56,148.38,87.438722956613
range_partitioning,micro_predecessor,0.6,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,7014.08,1962.85,87.2333105761595
range_partitioning,micro_predecessor,1.0,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,40548.05,11246.53,73.366243920696
range_partitioning,micro_insert,0.0,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,695.94,200.97,230.036852
range_partitioning,micro_insert,0.6,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,10862.91,2896.9,231.2262498
range_partitioning,micro_insert,1.0,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,63467.38,16758.85,191.7562026
range_partitioning,micro_scan,0.0,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,378.31,94.87,38.2005674
range_partitioning,micro_scan,0.6,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,2077.08,560.45,38.42181441
range_partitioning,micro_scan,1.0,1000000,100000000,,FALSE,FALSE,FALSE,TRUE,,,,,,,,9722.05,2719.4,37.5093749
pim_tree,micro_get,0.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,42086833.55,,,,,,,,,
pim_tree,micro_get,0.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,39396912.07,,,,,,,,,
pim_tree,micro_get,0.4,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,40166288.43,,,,,,,,,
pim_tree,micro_get,0.6,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,40508462.22,,,,,,,,,
pim_tree,micro_get,0.8,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,40012644,,,,,,,,,
pim_tree,micro_get,1.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,40322580.65,,,,,,,,,
pim_tree,micro_get,1.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,41123324.74,,,,,,,,,
pim_tree,micro_predecessor,0.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,15251830.6,,,,,,,,,
pim_tree,micro_predecessor,0.4,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,14203980.52,,,,,,,,,
pim_tree,micro_predecessor,0.6,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,13817154.83,,,,,,,,,
pim_tree,micro_predecessor,0.8,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,13977705.56,,,,,,,,,
pim_tree,micro_predecessor,1.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,14389690.07,,,,,,,,,
pim_tree,micro_insert,0.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,5184624.478,,,,,,,,,
pim_tree,micro_insert,0.4,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,4936589.508,,,,,,,,,
pim_tree,micro_insert,0.6,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,4874054.433,,,,,,,,,
pim_tree,micro_insert,0.8,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,5078874.928,,,,,,,,,
pim_tree,micro_insert,1.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,5249509.171,,,,,,,,,
pim_tree,micro_delete,0.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,5320620.597,,,,,,,,,
pim_tree,micro_delete,0.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,5147475.163,,,,,,,,,
pim_tree,micro_delete,0.4,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,4973738.66,,,,,,,,,
pim_tree,micro_delete,0.6,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,5004679.375,,,,,,,,,
pim_tree,micro_delete,0.8,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,4904966.278,,,,,,,,,
pim_tree,micro_delete,1.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,4702098.547,,,,,,,,,
pim_tree,micro_delete,1.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,4663048.141,,,,,,,,,
pim_tree,micro_scan,0.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,15989740.98,,,,,,,,,
pim_tree,micro_scan,0.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,16416668.17,,,,,,,,,
pim_tree,micro_scan,0.4,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,16042223.13,,,,,,,,,
pim_tree,micro_scan,0.6,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,14036624.36,,,,,,,,,
pim_tree,micro_scan,0.8,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,13981145.03,,,,,,,,,
pim_tree,micro_scan,1.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,13165846.22,,,,,,,,,
pim_tree,micro_scan,1.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,13236617.78,,,,,,,,,
range_partitioning,micro_get,0.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,59504683.02,,,,,,,,,
range_partitioning,micro_get,0.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,47620634.97,,,,,,,,,
range_partitioning,micro_get,0.4,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,27983299.57,,,,,,,,,
range_partitioning,micro_get,0.6,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,11996923.99,,,,,,,,,
range_partitioning,micro_get,0.8,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,4921235.624,,,,,,,,,
range_partitioning,micro_get,1.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,2335553.666,,,,,,,,,
range_partitioning,micro_get,1.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,1260231.505,,,,,,,,,
range_partitioning,micro_predecessor,0.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,41092738.09,,,,,,,,,
range_partitioning,micro_predecessor,0.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,22292915.53,,,,,,,,,
range_partitioning,micro_predecessor,0.4,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,7890542.396,,,,,,,,,
range_partitioning,micro_predecessor,0.6,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,2644411.301,,,,,,,,,
range_partitioning,micro_predecessor,0.8,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,991935.5639,,,,,,,,,
range_partitioning,micro_predecessor,1.0,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,459271.7787,,,,,,,,,
range_partitioning,micro_predecessor,1.2,1000000,100000000,,TRUE,FALSE,FALSE,FALSE,243393.0945,,,,,,,,,
